field_1,Site,Sample_ID,Date_ddPCR,Sample.type,State,Well,Lab_ID,Target,Concentrat,Status,Experiment,Supermix,DyeName.s.,Accepted_D,Positives.,Negatives.,Concentr_1,Accepted_1,Positive_1,Negative_1,Concentr_2,Accepted_2,Positive_2,Negative_2,freq,Infected,Bd.load_co,Comments.x,GPS,Collection,DOY,Time,Hg_mean,Coloration,Size,Frog_posit,Sex,Male,Weight,SVL,leaf_litte,ground_veg,small_trun,large_trun,fallen_tre,woody,phyto,Type_phyto,Microhab_t,Ambient_te,canopy_ID,canopy_cov,Comments.y,DateTimeS,Elevation,DateTime,Lon,Lat,dist_to_ph,dist_to_tr,coords.x1,coords.x2,distance.y,dist_km,min_spent,hrs_spent,frogs_obse,ind_obs,ind_per_km,Area_m,Area_ha,HFI,scaled_SMI.rob,DNA_ng.ml
248,Mont Fortune,23-Dt-154,01/08/2023,Frog swab,Wild,D11,DT258,RAG1,0.254771382,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,18473,4,18469,0.135280922,17394,2,17392,NA,NA,NA,NA,2,,NA,,678,17/02/2023,48,13:45,0.77,lightblue,Small,Climbing tree trunk,Male,1,2.55,3.47,85,5,2,1,0,10,FALSE,NA,24.9,27.3,IMG_4554,96.22,Climbing,49:23.0,122.3284,2/17/2023 16:49,-52.349804,4.880701,4.962626988,53.06965252,1016149.13,541262.2473,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.274561765,too low
249,Mont Fortune,23-Dt-155,01/08/2023,Frog swab,Wild,E11,DT259,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,15905,0,15905,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,679,17/02/2023,48,16:14,0.77,lightblue,Small,Under fallen log,Female,0,3.74,3.99,85,15,2,0,1,75,FALSE,NA,25.1,25.6,IMG_4559,97.99,,19:17.0,96.2029,2/17/2023 19:19,-52.351231,4.883585,30.51931023,15.19815225,1015988.18,541580.9846,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.973386892,too low
250,Mont Fortune,23-Dt-155,01/08/2023,Frog swab,Wild,E11,DT259,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,15905,0,15905,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,679,17/02/2023,48,16:14,0.77,lightblue,Small,Under fallen log,Female,0,3.74,3.99,85,15,2,0,1,75,FALSE,NA,25.1,25.6,IMG_4559,97.99,,19:17.0,96.2029,2/17/2023 19:19,-52.351231,4.883585,30.51931023,15.19815225,1015988.18,541580.9846,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.973386892,too low
251,Mont Fortune,23-Dt-156,01/08/2023,Frog swab,Wild,F11,DT260,Bd,2.74913764,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18423,43,18380,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,2.74913764,,687,18/02/2023,49,10:09,0.77,lightblue,Small,Under fallen log,Female,0,3.7,3.9,85,7,7,1,1,4,FALSE,NA,24.1,25.7,IMG_4574,95.07,,09:50.0,107.5179,2/18/2023 13:09,-52.350338,4.881909,40.92693005,13.71885952,1016088.802,541395.8037,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.65024307,too low
252,Mont Fortune,23-Dt-156,01/08/2023,Frog swab,Wild,F11,DT260,RAG1,0.255462915,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,18423,4,18419,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,687,18/02/2023,49,10:09,0.77,lightblue,Small,Under fallen log,Female,0,3.7,3.9,85,7,7,1,1,4,FALSE,NA,24.1,25.7,IMG_4574,95.07,,09:50.0,107.5179,2/18/2023 13:09,-52.350338,4.881909,40.92693005,13.71885952,1016088.802,541395.8037,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.65024307,too low
253,Mont Fortune,23-Dt-157,01/08/2023,Frog swab,Wild,G11,DT261,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17159,0,17159,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,705,18/02/2023,49,14:48,0.77,lightblue,Small,Under fallen log,Female,0,4.16,3.97,20,1,1,0,1,75,FALSE,NA,24.4,26,IMG_4599,82.89,,48:46.0,89.4927,2/18/2023 17:48,-52.35131,4.883496,29.13305523,19.30045998,1015979.461,541571.0537,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.440686386,too low
254,Mont Fortune,23-Dt-157,01/08/2023,Frog swab,Wild,G11,DT261,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17159,0,17159,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,705,18/02/2023,49,14:48,0.77,lightblue,Small,Under fallen log,Female,0,4.16,3.97,20,1,1,0,1,75,FALSE,NA,24.4,26,IMG_4599,82.89,,48:46.0,89.4927,2/18/2023 17:48,-52.35131,4.883496,29.13305523,19.30045998,1015979.461,541571.0537,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.440686386,too low
255,Mont Fortune,23-Dt-158,01/08/2023,Frog swab,Wild,H11,DT262,RAG1,0.449389875,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,18329,7,18322,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,707,20/02/2023,51,10:03,0.77,lightblue,Small,Tree roots,Female,0,4.26,3.84,100,5,1,1,0,3,FALSE,NA,24.5,23.8,IMG_4623,93.17,,05:45.0,85.0827,2/20/2023 13:05,-52.350129,4.88279,28.39059151,34.79798058,1016111.374,541493.6677,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.306990661,too low
256,Mont Fortune,23-Dt-158,01/08/2023,Frog swab,Wild,H11,DT262,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18329,0,18329,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,707,20/02/2023,51,10:03,0.77,lightblue,Small,Tree roots,Female,0,4.26,3.84,100,5,1,1,0,3,FALSE,NA,24.5,23.8,IMG_4623,93.17,,05:45.0,85.0827,2/20/2023 13:05,-52.350129,4.88279,28.39059151,34.79798058,1016111.374,541493.6677,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.306990661,too low
257,Mont Fortune,23-Dt-159,01/08/2023,Frog swab,Wild,A12,DT263,RAG1,0.069348969,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,16965,1,16964,1.127157569,16708,16,16692,NA,NA,NA,NA,2,,NA,,708,20/02/2023,51,10:15,0.77,lightblue,Small,Tree roots,Male,1,2.95,3.55,100,3,0,1,0,0,FALSE,NA,24.2,23.8,IMG_4623,93.17,,32:25.0,87.4227,2/20/2023 13:32,-52.350102,4.882587,9.77702943,39.2394905,1016114.533,541471.1757,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.00247072,too low
258,Mont Fortune,23-Dt-159,01/08/2023,Frog swab,Wild,A12,DT263,Bd,0.416155159,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16965,6,16959,0.704346836,16708,10,16698,NA,NA,NA,NA,2,Yes,0.560250998,,708,20/02/2023,51,10:15,0.77,lightblue,Small,Tree roots,Male,1,2.95,3.55,100,3,0,1,0,0,FALSE,NA,24.2,23.8,IMG_4623,93.17,,32:25.0,87.4227,2/20/2023 13:32,-52.350102,4.882587,9.77702943,39.2394905,1016114.533,541471.1757,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.00247072,too low
259,Mont Fortune,23-Dt-160,01/08/2023,Frog swab,Wild,B12,DT264,RAG1,2.260406494,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,16671,32,16639,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,711,20/02/2023,51,12:20,0.77,lightblue,Small,Tree roots,Female,0,3.67,3.72,95,5,0,1,0,0,FALSE,NA,23.9,23.6,IMG_4630,97.05,,17:07.0,103.0021,2/20/2023 15:17,-52.350181,4.882396,25.44676059,31.60187688,1016105.892,541449.9329,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.177009056,6.98
260,Mont Fortune,23-Dt-160,01/08/2023,Frog swab,Wild,B12,DT264,Bd,57.78133392,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16671,799,15872,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,57.78133392,,711,20/02/2023,51,12:20,0.77,lightblue,Small,Tree roots,Female,0,3.67,3.72,95,5,0,1,0,0,FALSE,NA,23.9,23.6,IMG_4630,97.05,,17:07.0,103.0021,2/20/2023 15:17,-52.350181,4.882396,25.44676059,31.60187688,1016105.892,541449.9329,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.177009056,6.98
261,Mont Fortune,23-Dt-161,03/08/2023,Frog swab,Wild,D02,DT282,RAG1,0.07408271,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,15881,1,15880,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,710,20/02/2023,51,11:50,0.77,lightblue,Small,Under roots of fallen tree,Female,0,4.2,3.8,100,15,2,0,1,65,FALSE,NA,23.8,23.5,IMG_4629,96.85,,51:54.0,120.3048,2/20/2023 14:51,-52.350188,4.880887,10.86448811,21.64458611,1016106.272,541282.5791,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.44897917,too low
262,Mont Fortune,23-Dt-161,03/08/2023,Frog swab,Wild,D02,DT282,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,15881,0,15881,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,710,20/02/2023,51,11:50,0.77,lightblue,Small,Under roots of fallen tree,Female,0,4.2,3.8,100,15,2,0,1,65,FALSE,NA,23.8,23.5,IMG_4629,96.85,,51:54.0,120.3048,2/20/2023 14:51,-52.350188,4.880887,10.86448811,21.64458611,1016106.272,541282.5791,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.44897917,too low
263,Mont Fortune,23-Dt-162,03/08/2023,Frog swab,Wild,E02,DT283,RAG1,0.068930455,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17068,1,17067,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,713,21/02/2023,52,08:42,0.77,lightblue,Small,Tree roots,Female,0,4.06,3.77,85,3,2,1,0,3,FALSE,NA,23.1,23.9,IMG_4640,94.74,,42:34.0,68.5837,2/21/2023 11:42,-52.351595,4.883494,57.99102487,48.72679561,1015947.76,541570.6125,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.433117813,too low
264,Mont Fortune,23-Dt-162,03/08/2023,Frog swab,Wild,E02,DT283,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17068,0,17068,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,713,21/02/2023,52,08:42,0.77,lightblue,Small,Tree roots,Female,0,4.06,3.77,85,3,2,1,0,3,FALSE,NA,23.1,23.9,IMG_4640,94.74,,42:34.0,68.5837,2/21/2023 11:42,-52.351595,4.883494,57.99102487,48.72679561,1015947.76,541570.6125,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.433117813,too low
265,Mont Fortune,23-Dt-163,03/08/2023,Frog swab,Wild,F02,DT284,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17871,0,17871,0,20211,0,20211,NA,NA,NA,NA,2,,NA,,714,21/02/2023,52,09:03,0.77,lightblue,Small,Under fallen log,Female,0,3.94,3.8,95,15,0,1,1,20,FALSE,NA,23.7,23.7,IMG_4643,91.1,,04:47.0,58.4814,2/21/2023 12:04,-52.351923,4.883918,44.21263993,20.14176394,1015910.949,541617.3815,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.115461861,too low
266,Mont Fortune,23-Dt-163,03/08/2023,Frog swab,Wild,F02,DT284,Bd,0.065833107,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17871,1,17870,0,20211,0,20211,NA,NA,NA,NA,2,No,0,,714,21/02/2023,52,09:03,0.77,lightblue,Small,Under fallen log,Female,0,3.94,3.8,95,15,0,1,1,20,FALSE,NA,23.7,23.7,IMG_4643,91.1,,04:47.0,58.4814,2/21/2023 12:04,-52.351923,4.883918,44.21263993,20.14176394,1015910.949,541617.3815,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.115461861,too low
267,Mont Fortune,23-Dt-164,03/08/2023,Frog swab,Wild,G02,DT285,Bd,0.539824605,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,15259,7,15252,0,19966,0,19966,NA,NA,NA,NA,2,No,0,,715,21/02/2023,52,09:15,0.77,lightblue,Small,Under dead wood,Male,1,3.11,3.5,60,5,1,0,1,60,FALSE,NA,23.7,23.7,IMG_4648,95.35,,16:49.0,65.9001,2/21/2023 12:16,-52.351985,4.883889,37.96629526,15.74856105,1015904.075,541614.1176,32542,33,3078,51.3,50,43,1.27,80500,8,25.24464989,0.561650003,too low
268,Mont Fortune,23-Dt-164,03/08/2023,Frog swab,Wild,G02,DT285,RAG1,0.231323063,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,15259,3,15256,0.294655383,19966,5,19961,NA,NA,NA,NA,2,,NA,,715,21/02/2023,52,09:15,0.77,lightblue,Small,Under dead wood,Male,1,3.11,3.5,60,5,1,0,1,60,FALSE,NA,23.7,23.7,IMG_4648,95.35,,16:49.0,65.9001,2/21/2023 12:16,-52.351985,4.883889,37.96629526,15.74856105,1015904.075,541614.1176,32542,33,3078,51.3,50,43,1.27,80500,8,25.24464989,0.561650003,too low
269,Mont Fortune,23-Dt-165,03/08/2023,Frog swab,Wild,H02,DT286,RAG1,157.9571228,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,16786,2109,14677,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,716,21/02/2023,52,09:50,0.77,lightblue,Small,Leaf litter,Juvenile,NA,0.41,1.92,100,3,3,0,1,15,FALSE,NA,23.4,23.1,IMG_4649,95.22,,53:41.0,83.9848,2/21/2023 12:53,-52.351982,4.883452,22.87386112,32.71702126,1015904.744,541565.6567,32542,33,3078,51.3,50,43,1.27,80500,8,25.24464989,NA,too low
270,Mont Fortune,23-Dt-165,03/08/2023,Frog swab,Wild,H02,DT286,Bd,387.6362305,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16786,4712,12074,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,387.6362305,,716,21/02/2023,52,09:50,0.77,lightblue,Small,Leaf litter,Juvenile,NA,0.41,1.92,100,3,3,0,1,15,FALSE,NA,23.4,23.1,IMG_4649,95.22,,53:41.0,83.9848,2/21/2023 12:53,-52.351982,4.883452,22.87386112,32.71702126,1015904.744,541565.6567,32542,33,3078,51.3,50,43,1.27,80500,8,25.24464989,NA,too low
271,Mont Fortune,23-Dt-166,03/08/2023,Frog swab,Wild,A03,DT287,Bd,0.067340411,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17471,1,17470,0.061882049,19012,1,19011,NA,NA,NA,NA,2,No,0,,717,21/02/2023,52,10:10,0.77,lightblue,Small,Under dead wood,Male,1,2.73,3.49,100,1,4,1,1,70,FALSE,NA,23.5,23.2,IMG_4652,96.09,,11:25.0,91.5546,2/21/2023 13:11,-52.351735,4.88312,68.39360846,42.77823636,1015932.474,541529.0281,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.056155439,too low
272,Mont Fortune,23-Dt-166,03/08/2023,Frog swab,Wild,A03,DT287,RAG1,0.067340411,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17471,1,17470,0.123767354,19012,2,19010,NA,NA,NA,NA,2,,NA,,717,21/02/2023,52,10:10,0.77,lightblue,Small,Under dead wood,Male,1,2.73,3.49,100,1,4,1,1,70,FALSE,NA,23.5,23.2,IMG_4652,96.09,,11:25.0,91.5546,2/21/2023 13:11,-52.351735,4.88312,68.39360846,42.77823636,1015932.474,541529.0281,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.056155439,too low
273,Mont Fortune,23-Dt-167,03/08/2023,Frog swab,Wild,B03,DT288,Bd,0.123481557,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19056,2,19054,0,19950,0,19950,NA,NA,NA,NA,2,No,0,,718,21/02/2023,52,10:49,0.77,lightblue,Small,Tree roots,Female,0,3.65,3.76,100,3,0,1,0,20,FALSE,NA,23.3,23,IMG_4657,95.86,,49:35.0,89.1791,2/21/2023 13:49,-52.350335,4.882529,32.16450563,22.98533239,1016088.659,541464.5641,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.05899503,too low
274,Mont Fortune,23-Dt-167,03/08/2023,Frog swab,Wild,B03,DT288,RAG1,0.1852272,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19056,3,19053,0.176926166,19950,3,19947,NA,NA,NA,NA,2,,NA,,718,21/02/2023,52,10:49,0.77,lightblue,Small,Tree roots,Female,0,3.65,3.76,100,3,0,1,0,20,FALSE,NA,23.3,23,IMG_4657,95.86,,49:35.0,89.1791,2/21/2023 13:49,-52.350335,4.882529,32.16450563,22.98533239,1016088.659,541464.5641,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.05899503,too low
275,Mont Fortune,23-Dt-168,03/08/2023,Frog swab,Wild,C03,DT289,Bd,60.40345764,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16964,849,16115,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,60.40345764,,720,22/02/2023,53,10:30,0.77,lightblue,Small,Under dead wood,Female,0,1.18,3.13,100,7,3,1,1,25,FALSE,NA,23.6,23.6,IMG_4680,95.46,,38:37.0,95.3148,2/22/2023 13:38,-52.350347,4.882726,10.65180388,9.582003652,1016087.173,541486.4022,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-1.710105036,too low
276,Mont Fortune,23-Dt-168,03/08/2023,Frog swab,Wild,C03,DT289,RAG1,37.19929504,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,16964,528,16436,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,720,22/02/2023,53,10:30,0.77,lightblue,Small,Under dead wood,Female,0,1.18,3.13,100,7,3,1,1,25,FALSE,NA,23.6,23.6,IMG_4680,95.46,,38:37.0,95.3148,2/22/2023 13:38,-52.350347,4.882726,10.65180388,9.582003652,1016087.173,541486.4022,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-1.710105036,too low
277,Mont Fortune,23-Dt-169,03/08/2023,Frog swab,Wild,D03,DT290,RAG1,0.838937879,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,16834,12,16822,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,721,22/02/2023,53,10:45,0.77,lightblue,Small,Under woody structure,Female,0,3.47,3.54,75,1,6,0,0,35,FALSE,NA,23.5,23.5,IMG_4684,97,,48:56.0,88.3814,2/22/2023 13:48,-52.350207,4.882578,21.03037169,29.1083578,1016102.86,541470.0968,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.93194427,too low
278,Mont Fortune,23-Dt-169,03/08/2023,Frog swab,Wild,D03,DT290,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16834,0,16834,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,721,22/02/2023,53,10:45,0.77,lightblue,Small,Under woody structure,Female,0,3.47,3.54,75,1,6,0,0,35,FALSE,NA,23.5,23.5,IMG_4684,97,,48:56.0,88.3814,2/22/2023 13:48,-52.350207,4.882578,21.03037169,29.1083578,1016102.86,541470.0968,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.93194427,too low
279,Mont Fortune,23-Dt-170,03/08/2023,Frog swab,Wild,E03,DT291,RAG1,10.68169498,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,15047,136,14911,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,723,22/02/2023,53,12:15,0.77,lightblue,Small,Climbing tree trunk,Female,0,4,4.15,80,5,2,1,0,5,FALSE,NA,24.2,24.2,IMG_4688,92.9,,15:28.0,99.2961,2/22/2023 15:15,-52.351215,4.883065,33.90225445,9.682533945,1015990.359,541523.3289,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-1.301358346,too low
280,Mont Fortune,23-Dt-170,03/08/2023,Frog swab,Wild,E03,DT291,Bd,15.18758488,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,15047,193,14854,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,15.18758488,,723,22/02/2023,53,12:15,0.77,lightblue,Small,Climbing tree trunk,Female,0,4,4.15,80,5,2,1,0,5,FALSE,NA,24.2,24.2,IMG_4688,92.9,,15:28.0,99.2961,2/22/2023 15:15,-52.351215,4.883065,33.90225445,9.682533945,1015990.359,541523.3289,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-1.301358346,too low
281,Mont Fortune,23-Dt-171,03/08/2023,Frog swab,Wild,F03,DT292,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16204,0,16204,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,731,22/02/2023,53,13:50,0.77,lightblue,Small,Tree roots,Female,0,3.3,3.79,90,5,3,1,0,40,FALSE,NA,24,24,IMG_4699,92.65,,54:51.0,127.3241,2/22/2023 16:54,-52.350694,4.881461,19.78302646,72.17709558,1016049.545,541345.8463,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.661718235,too low
282,Mont Fortune,23-Dt-171,03/08/2023,Frog swab,Wild,F03,DT292,RAG1,0.290450722,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,16204,4,16200,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,731,22/02/2023,53,13:50,0.77,lightblue,Small,Tree roots,Female,0,3.3,3.79,90,5,3,1,0,40,FALSE,NA,24,24,IMG_4699,92.65,,54:51.0,127.3241,2/22/2023 16:54,-52.350694,4.881461,19.78302646,72.17709558,1016049.545,541345.8463,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.661718235,too low
283,Mont Fortune,23-Dt-172,03/08/2023,Frog swab,Wild,G03,DT293,RAG1,2.461993933,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,16264,34,16230,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,722,22/02/2023,53,11:45,0.77,lightblue,Small,Under dead wood,Male,1,2.5,3.68,90,3,1,1,1,70,FALSE,NA,23.5,23.5,IMG_4687,94.11,,44:13.0,108.0587,2/22/2023 14:44,-52.350288,4.881593,8.48418751,35.00218641,1016094.606,541360.7977,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-1.303581993,too low
284,Mont Fortune,23-Dt-172,03/08/2023,Frog swab,Wild,G03,DT293,Bd,6.673793316,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16264,92,16172,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,6.673793316,,722,22/02/2023,53,11:45,0.77,lightblue,Small,Under dead wood,Male,1,2.5,3.68,90,3,1,1,1,70,FALSE,NA,23.5,23.5,IMG_4687,94.11,,44:13.0,108.0587,2/22/2023 14:44,-52.350288,4.881593,8.48418751,35.00218641,1016094.606,541360.7977,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-1.303581993,too low
285,Mont Fortune,23-Dt-173,03/08/2023,Frog swab,Wild,H03,DT294,Bd,20.13950348,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17852,303,17549,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,20.13950348,,733,23/02/2023,54,11:30,0.77,lightblue,Small,Climbing tree trunk,Male,1,2.37,3.4,75,12,4,1,0,20,FALSE,NA,24.4,24.5,IMG_4707,96.68,,30:49.0,112.2131,2/23/2023 14:30,-52.350125,4.881372,8.071329661,24.7632597,1016112.907,541336.4142,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.244700495,too low
286,Mont Fortune,23-Dt-173,03/08/2023,Frog swab,Wild,H03,DT294,RAG1,10.79125786,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17852,163,17689,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,733,23/02/2023,54,11:30,0.77,lightblue,Small,Climbing tree trunk,Male,1,2.37,3.4,75,12,4,1,0,20,FALSE,NA,24.4,24.5,IMG_4707,96.68,,30:49.0,112.2131,2/23/2023 14:30,-52.350125,4.881372,8.071329661,24.7632597,1016112.907,541336.4142,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,-0.244700495,too low
287,Mont Fortune,23-Dt-174,03/08/2023,Frog swab,Wild,A04,DT295,RAG1,2.844315052,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,16979,41,16938,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,734,23/02/2023,54,11:45,0.77,lightblue,Small,Tree roots,Juvenile,NA,0.28,1.55,95,10,1,1,0,0,FALSE,NA,24.8,24.8,IMG_4712,96.87,,48:51.0,102.4687,2/23/2023 14:48,-52.350274,4.882437,31.38015689,35.20023734,1016095.515,541454.4082,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,NA,too low
288,Mont Fortune,23-Dt-174,03/08/2023,Frog swab,Wild,A04,DT295,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16979,0,16979,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,734,23/02/2023,54,11:45,0.77,lightblue,Small,Tree roots,Juvenile,NA,0.28,1.55,95,10,1,1,0,0,FALSE,NA,24.8,24.8,IMG_4712,96.87,,48:51.0,102.4687,2/23/2023 14:48,-52.350274,4.882437,31.38015689,35.20023734,1016095.515,541454.4082,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,NA,too low
289,Mont Fortune,23-Dt-145,01/08/2023,Frog swab,Wild,G08,DT237,Bd,1.74769628,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19536,29,19507,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,1.74769628,,646,15/02/2023,46,12:50,0.77,lightblue,Small,Tree roots,Male,1,2.58,3.35,100,3,3,1,0,25,TRUE,Tree root structure,25.1,26.4,IMG_4479,95.5,,51:17.0,109.8783,2/15/2023 15:51,-52.349847,4.881865,5.160619796,40.29056406,1016143.453,541391.3021,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.475570943,too low
290,Mont Fortune,23-Dt-145,01/08/2023,Frog swab,Wild,G08,DT237,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19536,0,19536,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,646,15/02/2023,46,12:50,0.77,lightblue,Small,Tree roots,Male,1,2.58,3.35,100,3,3,1,0,25,TRUE,Tree root structure,25.1,26.4,IMG_4479,95.5,,51:17.0,109.8783,2/15/2023 15:51,-52.349847,4.881865,5.160619796,40.29056406,1016143.453,541391.3021,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.475570943,too low
291,Mont Fortune,23-Dt-146,01/08/2023,Frog swab,Wild,H08,DT238,RAG1,0.294995248,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19943,5,19938,0.955848813,19701,16,19685,NA,NA,NA,NA,2,,NA,,647,15/02/2023,46,14:05,0.77,lightblue,Small,Under fallen log,Male,1,2.87,3.46,80,25,1,0,1,35,FALSE,NA,25.9,26.7,IMG_4480,94.83,,02:39.0,55.6554,2/15/2023 17:02,-52.350782,4.883509,34.85417396,17.78760345,1016038.184,541572.902,32542,33,3078,51.3,50,43,1.27,80500,8,30.54247284,0.370227805,too low
